sample_id	err_fmtime	err_fname	total_num_of_PE_reads	num_qualtrim_kept_PE_reads	prop_qualtrim_kept_PE_reads	for_only_surv	rev_only_surv	dropped
F1111	2021-10-05 19:56:17	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_100.err	21722276	21606758	0.994682048971296	47462	9473	824
F1112	2021-10-05 19:52:20	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_101.err	14373040	14246366	0.991186693977057	51827	7663	3847
F1113	2021-10-05 19:53:48	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_102.err	18186220	18098034	0.995150943956468	37065	6306	722
F1114	2021-10-05 19:56:17	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_103.err	24485206	24343352	0.994206542513876	60461	9522	944
F1115	2021-10-05 19:55:01	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_104.err	17393166	17305090	0.994936172057462	37305	6117	616
F1116	2021-10-05 19:55:21	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_105.err	15568158	15483022	0.994531401852422	36671	5319	578
F1118	2021-10-05 19:53:23	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_106.err	9816796	9725192	0.990668645859606	40480	4501	821
F1119	2021-10-05 20:00:28	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_107.err	26085550	25874528	0.991910387168375	87572	15864	2075
F1121	2021-10-05 19:55:29	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_108.err	16550150	16470790	0.995204877297185	33494	5707	479
F1124	2021-10-05 19:54:40	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_109.err	12095070	12021780	0.993940506338533	27432	6127	3086
F1010	2021-10-05 19:50:45	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_10.err	9310330	9240394	0.992488343592547	30483	3840	645
F1125	2021-10-05 19:56:46	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_110.err	16605496	16497486	0.993495527023101	43471	9704	830
F1126	2021-10-05 19:56:02	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_111.err	17548902	17467986	0.995389113233409	33651	6198	609
F1132	2021-10-05 19:56:04	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_112.err	15679112	15597288	0.994781337106336	34938	5501	473
F1134	2021-10-05 19:55:19	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_113.err	11955074	11895302	0.995000281888678	24201	5267	418
F1139	2021-10-05 19:56:14	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_114.err	16058124	15963834	0.994128205760523	40443	6060	642
F1140	2021-10-05 19:53:49	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_115.err	11092274	11016544	0.993172725448362	30656	6655	554
F1141	2021-10-05 19:53:15	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_116.err	6966772	6864150	0.985269792093096	48038	2979	294
F1142	2021-10-05 19:55:26	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_117.err	11261152	11116728	0.987175024366956	67919	3578	715
F1144	2021-10-05 19:56:06	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_118.err	14492122	14417590	0.994857067860731	30951	5840	475
F1146	2021-10-05 19:56:07	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_119.err	12242512	12157096	0.993023000508392	37676	4429	603
F1011	2021-10-05 19:50:35	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_11.err	7825526	7776616	0.993749940898542	21617	2568	270
F1147	2021-10-05 19:54:39	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_120.err	10385160	10260548	0.988000955209164	57587	3666	1053
F1148	2021-10-05 19:52:49	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_121.err	6890818	6845312	0.993396139616516	18843	3590	320
F1149	2021-10-05 20:01:23	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_122.err	28783584	28481422	0.989502280188596	130997	17507	2577
F1150	2021-10-05 19:56:55	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_123.err	15334962	15247174	0.994275303714479	37388	5919	587
F1151	2021-10-05 19:57:19	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_124.err	16941546	16798814	0.991575030991859	64214	6171	981
F1157	2021-10-05 19:56:20	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_125.err	15090546	14970258	0.992028916647549	52445	6973	726
F1158	2021-10-05 19:59:53	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_126.err	19420584	19273744	0.992438950342585	63885	8631	904
F1159	2021-10-05 19:57:28	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_127.err	16197006	16056796	0.991343461871904	61764	7521	820
F1160	2021-10-05 19:57:55	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_128.err	14182966	14089948	0.993441569274015	39405	6500	604
F1161	2021-10-05 19:57:03	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_129.err	11599294	11478364	0.989574365474312	56495	3318	652
F1012	2021-10-05 19:52:40	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_12.err	12047636	11964064	0.993063203436757	36078	4949	759
F1162	2021-10-05 19:59:11	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_130.err	15431090	15312052	0.992285833340354	51371	7265	883
F1163	2021-10-05 19:58:42	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_131.err	14049462	13920024	0.990786978177527	57298	6570	851
F1164	2021-10-05 19:57:34	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_132.err	14477698	14379948	0.993248236011001	41994	6248	633
F1165	2021-10-05 19:56:00	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_133.err	9760248	9654426	0.989157857464278	49594	2725	592
F1167	2021-10-05 19:57:34	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_134.err	12787302	12688622	0.992282969464552	42998	5726	616
F1168	2021-10-05 19:56:37	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_135.err	10275880	10210344	0.993622346699261	28003	4361	404
F1171	2021-10-05 19:57:25	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_136.err	13523748	13368048	0.988486919454577	71365	5519	966
F1178	2021-10-05 19:57:33	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_137.err	12388044	12319854	0.994495499047307	28942	4744	409
F1182	2021-10-05 20:00:29	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_138.err	20438758	20343266	0.995327896147114	40529	6606	611
F1184	2021-10-05 20:00:49	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_139.err	18764050	18667904	0.99487605287771	40390	7021	662
F1013	2021-10-05 19:52:07	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_13.err	9835052	9724094	0.988718107438578	48930	6005	544
F1190	2021-10-05 19:54:01	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_140.err	5781414	5749368	0.994457065347681	13444	2383	196
F1192	2021-10-05 19:59:44	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_141.err	15314632	15127762	0.987797943822614	86190	6077	1168
F1193	2021-10-05 20:05:24	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_142.err	26322356	26195512	0.995181130442883	51147	11331	944
F1195	2021-10-05 20:01:04	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_143.err	20166302	19877440	0.985676005447107	134815	7891	1725
F1198	2021-10-05 19:58:18	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_144.err	17542726	17446688	0.994525480247483	40831	6505	683
F1202	2021-10-05 20:07:54	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_145.err	29006870	28778888	0.992140413633046	95223	16849	1919
F1203	2021-10-05 20:03:04	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_146.err	20326568	20141468	0.990893691448551	79275	11720	1555
F1204	2021-10-05 20:00:37	/full_path_to/wd/auto_metaviromics_jobserrors_trim/slurm-42966398_147.err	16778066	16708036	0.995826098192724	29012	5534	469
